id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13157010703,89028
13159010100,56250
13159010200,54138
13159010500,47908
13161960100,34868
13161960200,37370
13161960300,40741
13163960100,36895
13163960200,46250
13163960300,26623
13163960400,33110
13165960100,26072
13165960200,37315
13167960100,44961
13167960200,37756
13167960300,53224
13169030101,66667
13169030103,70313
13169030104,42519
13169030200,48938
13169030301,55966
13169030302,60878
13171970100,56344
13171970200,44536
13171970300,33507
13173950100,36484
13173950200,41532
13175950100,38364
13175950201,50930
13175950202,62977
13175950300,41597
13175950400,27019
13175950500,32165
13175950600,56522
13175950700,38519
13175950800,38465
13175950900,18299
13175951000,34949
13175951100,35165
13175951400,39414
13177020100,57699
13177020200,43782
13177020300,57938
13177020402,69792
13177020403,103323
13179010101,40318
13179010102,62661
13179010103,41831
13179010202,43125
13179010204,36967
13179010205,63111
13179010206,51818
13179010207,48731
13179010208,50746
13179010300,49112
13179010400,46259
13179010501,54563
13179010502,52201
13179010600,42383
13179990000,-
13181970100,37188
13181970200,40779
13183970100,59286
13183970200,53081
13183980000,-
13185010101,46383
13185010102,56672
13185010103,75750
13185010201,76843
13185010202,78792
13185010301,57776
13185010302,71607
13185010401,43750
13185010402,35526
13185010500,26532
13185010601,31747
13185010604,56810
13185010700,56563
13185010800,18867
13185010900,28967
13185011000,17313
13185011100,31500
13185011200,38038
13185011301,16834
13185011302,21915
13185011401,62292
13185011402,28508
13185011403,34455
13185011500,51250
13185011600,49931
13187960101,57070
13187960102,68537
13187960201,51202
13187960202,35881
13189950100,62404
13189950200,35625
13189950300,31901
13189950400,44192
13189950500,45503
13191110100,76842
13191110200,46296
13191110300,44688
13191980000,-
13191990000,-
13193000100,22394
13193000200,37308
13193000300,30903
13193000400,36356
13195020100,44242
13195020200,57765
13195020300,41910
13195020400,65750
13195020500,54530
13195020600,55170
13197920100,49951
13197920200,41222
13199970500,36139
13199970600,37976
13199970700,42500
13199970800,33457
13201950100,38221
13201950200,40368
13201950300,51824
13205090100,48659
13205090200,30984
13205090300,22182
13205090400,38195
13205090500,41654
13207050101,53453
13207050102,35417
13207050200,38309
13207050301,63281
13207050302,85298
13209950100,60208
13209950200,36197
13209950300,44875
13211010100,58750
13211010200,55179
13211010300,66514
13211010400,74500
13211010500,71645
13213010100,45672
13213010201,56458
13213010202,58029
13213010300,38042
13213010400,44606
13213010500,54167
13213010600,50436
13213010700,36992
13215000200,51957
13215000300,25104
13215000400,47292
13215000800,31853
13215000900,45164
13215001000,62500
13215001100,76631
13215001200,51481
13215001400,17578
13215001600,17367
13215001800,18250
13215002000,29042
13215002100,40093
13215002200,28074
13215002300,33482
13215002400,14521
13215002500,9300
13215002700,17903
13215002800,21223
13215002901,29583
13215002902,25750
13215003000,16982
13215003200,20671
13215003301,28571
13215003302,21860
13215003400,19070
13215010104,57738
13215010106,55625
13215010107,90316
13215010201,82686
13215010203,76391
13215010204,63681
13215010205,58349
13215010301,127609
13215010302,86532
13215010401,66743
13215010402,52788
13215010501,42209
13215010502,38653
13215010602,42201
13215010605,41900
13215010606,-
13215010607,38304
13215010608,41284
13215010701,40928
13215010702,42850
13215010703,37696
13215010801,62326
13215010802,60610
13215011100,33306
13215011200,34932
13215011400,27056
13215011500,32114
13217100100,69006
13217100201,69564
13217100202,97578
13217100300,52823
13217100400,49836
13217100501,60797
